,Date,open,high,low,close,volume,unknown,predicted_open,predicted_high,predicted_low,predicted_close
0,2007-01-02,125.0,126.0,124.3,125.36,4081440.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-03,125.0,126.99,123.71,126.49,6825540.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-04,127.0,128.0,123.72,124.3,6544400.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-05,124.1,125.78,123.31,124.41,6962270.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-08,124.88,124.88,120.71,121.37,8747010.0,0.0,0.0,0.0,0.0,0.0
5,2007-01-09,121.99,122.24,117.11,117.49,15034710.0,0.0,0.0,0.0,0.0,0.0
6,2007-01-10,117.1,117.6,113.28,113.64,9712220.0,0.0,0.0,0.0,0.0,0.0
7,2007-01-11,114.5,115.9,113.2,114.74,17497340.0,0.0,0.0,0.0,0.0,0.0
8,2007-01-12,116.2,123.63,116.0,122.54,19269080.0,0.0,0.0,0.0,0.0,0.0
9,2007-01-15,123.5,123.5,120.91,122.22,8038610.0,0.0,0.0,0.0,0.0,0.0
10,2007-01-16,125.5,125.5,120.41,120.98,11492260.0,0.0,0.0,0.0,0.0,0.0
11,2007-01-17,121.9,123.4,121.31,122.26,7106150.0,0.0,0.0,0.0,0.0,0.0
12,2007-01-18,122.6,125.4,122.4,122.9,12337070.0,0.0,0.0,0.0,0.0,0.0
13,2007-01-19,128.23,128.23,121.0,122.03,6830570.0,0.0,0.0,0.0,0.0,0.0
14,2007-01-22,121.8,123.2,121.8,122.46,3735260.0,0.0,0.0,0.0,0.0,0.0
15,2007-01-23,122.51,123.18,116.7,117.41,21650260.0,0.0,0.0,0.0,0.0,0.0
16,2007-01-24,117.41,118.5,114.91,117.26,11385490.0,0.0,0.0,0.0,0.0,0.0
17,2007-01-25,117.53,118.09,116.25,117.64,8444710.0,0.0,0.0,0.0,0.0,0.0
18,2007-01-29,119.0,119.0,115.1,115.62,5571830.0,0.0,0.0,0.0,0.0,0.0
19,2007-01-31,116.2,118.0,113.28,114.04,17620830.0,0.0,0.0,0.0,0.0,0.0
20,2007-02-01,115.8,123.0,113.57,120.3,24911970.0,0.0,0.0,0.0,0.0,0.0
21,2007-02-02,121.5,121.74,117.32,118.11,19414560.0,0.0,0.0,0.0,0.0,0.0
22,2007-02-05,117.6,120.69,117.03,119.71,12628700.0,0.0,0.0,0.0,0.0,0.0
23,2007-02-06,120.5,121.0,119.03,119.65,9613220.0,0.0,0.0,0.0,0.0,0.0
24,2007-02-07,119.5,120.38,118.53,119.51,11168460.0,0.0,0.0,0.0,0.0,0.0
25,2007-02-08,119.5,121.89,119.2,120.53,10344070.0,0.0,0.0,0.0,0.0,0.0
26,2007-02-09,120.6,121.47,117.92,119.97,10179980.0,0.0,0.0,0.0,0.0,0.0
27,2007-02-12,119.97,120.38,117.2,118.37,11353840.0,0.0,0.0,0.0,0.0,0.0
28,2007-02-13,118.29,119.95,115.81,117.34,12469450.0,0.0,0.0,0.0,0.0,0.0
29,2007-02-14,115.0,115.99,108.52,110.23,22048010.0,0.0,0.0,0.0,0.0,0.0
30,2007-02-15,111.06,114.9,111.06,112.26,11072890.0,0.0,0.0,0.0,0.0,0.0
31,2007-02-19,112.8,113.9,112.02,113.21,8322420.0,0.0,117.70339965820312,118.7221450805664,114.44606018066406,115.87924194335938
32,2007-02-20,113.21,114.48,110.5,110.78,6683080.0,0.0,115.41600799560547,117.02896118164062,112.18280792236328,113.62240600585938
33,2007-02-21,109.97,111.8,109.06,110.59,8285260.0,0.0,113.4535903930664,115.32638549804688,110.88024139404297,112.2625503540039
34,2007-02-22,110.5,111.2,107.0,107.81,14822410.0,0.0,112.32129669189453,114.15851593017578,110.1220932006836,111.24542999267578
35,2007-02-23,113.5,113.5,104.1,105.82,14138370.0,0.0,111.24746704101562,113.0296630859375,109.45945739746094,110.51801300048828
36,2007-02-26,107.0,110.59,104.21,108.84,8770620.0,0.0,110.45148468017578,111.98536682128906,108.52567291259766,109.53044128417969
37,2007-02-27,109.1,114.9,106.2,106.92,10151370.0,0.0,110.60356140136719,111.68253326416016,107.03791809082031,108.1655502319336
38,2007-02-28,97.16,109.8,97.15,104.18,17904600.0,0.0,109.97343444824219,111.30951690673828,105.58642578125,107.5038070678711
39,2007-03-01,104.2,106.1,101.6,105.57,11088230.0,0.0,109.29607391357422,111.74838256835938,104.93135833740234,107.07755279541016
40,2007-03-02,103.5,107.44,99.11,100.49,16488320.0,0.0,106.45296478271484,111.57923889160156,103.09681701660156,106.24518585205078
41,2007-03-05,99.9,100.3,95.5,96.25,16554300.0,0.0,104.2636947631836,110.2162094116211,101.69469451904297,105.57913970947266
42,2007-03-06,99.9,99.9,96.5,98.81,11226010.0,0.0,103.063232421875,108.73982238769531,100.50758361816406,104.18809509277344
43,2007-03-07,99.8,100.17,94.43,96.44,13111360.0,0.0,101.92569732666016,106.22575378417969,98.9286880493164,101.77104949951172
44,2007-03-08,98.9,101.1,96.31,99.93,23874090.0,0.0,100.93193817138672,103.52355194091797,97.59297180175781,99.80859375
