,Date,open,high,low,close,volume,unknown,predicted_open,predicted_high,predicted_low,predicted_close
92,2007-05-21,56.0,58.69,54.0,57.55,4070500,0,54.08160400390625,55.36350631713867,53.246482849121094,54.93086242675781
93,2007-05-22,57.0,58.34,55.65,56.0,2748270,0,55.30080032348633,56.330039978027344,54.27543640136719,55.730831146240234
94,2007-05-23,57.98,57.98,54.18,54.54,2373580,0,55.91992950439453,57.168907165527344,54.50690460205078,56.31245803833008
95,2007-05-24,54.54,55.2,52.91,53.83,2875275,0,56.23750305175781,57.662025451660156,54.616737365722656,56.324764251708984
96,2007-05-25,53.0,54.7,52.0,54.11,2321345,0,56.593040466308594,57.76139831542969,54.37455368041992,55.679561614990234
97,2007-05-28,54.41,55.65,54.41,55.41,2532290,0,56.11310577392578,57.00404739379883,53.70006561279297,54.69979476928711
98,2007-05-29,57.89,57.89,54.63,55.03,806385,0,54.897010803222656,55.85408020019531,52.76722717285156,53.894989013671875
99,2007-05-30,54.3,55.4,54.0,54.49,1052205,0,53.965824127197266,55.061912536621094,52.50849151611328,53.72159194946289
100,2007-05-31,55.0,56.1,53.3,55.14,3393345,0,54.314353942871094,55.226478576660156,52.80284881591797,53.87343978881836
101,2007-06-01,55.4,56.2,54.02,54.46,2029075,0,54.490318298339844,55.331871032714844,53.15471267700195,54.009063720703125
102,2007-06-04,54.8,55.38,54.4,54.92,1009410,0,54.55870819091797,55.445335388183594,53.25484085083008,54.231842041015625
103,2007-06-05,54.8,56.6,54.5,56.3,2105305,0,54.67841720581055,55.58478546142578,53.355918884277344,54.318790435791016
104,2007-06-06,56.6,56.98,54.24,54.51,1634735,0,54.68631362915039,55.53321838378906,53.559505462646484,54.407535552978516
105,2007-06-07,50.43,55.0,50.43,52.78,3158770,0,54.62847900390625,55.65946960449219,53.804866790771484,54.8089714050293
106,2007-06-08,51.02,53.81,51.02,52.95,1907100,0,54.976531982421875,55.973899841308594,53.949058532714844,54.901466369628906
107,2007-06-11,53.4,53.64,52.0,52.04,1141405,0,54.07524490356445,55.8600959777832,53.12778091430664,54.362911224365234
108,2007-06-12,53.0,53.36,50.0,50.35,1802465,0,52.7459602355957,55.228515625,52.07700729370117,53.64788055419922
109,2007-06-13,50.96,50.96,49.48,49.71,1307460,0,52.154762268066406,54.44697189331055,51.46474075317383,52.86112976074219
110,2007-06-14,50.01,52.86,49.8,52.44,1915805,0,52.09317398071289,53.75187301635742,50.83171081542969,51.85881423950195
111,2007-06-15,52.5,53.1,51.71,52.07,1425620,0,51.820003509521484,52.75416564941406,50.17058181762695,50.82890701293945
112,2007-06-18,52.07,52.8,51.9,52.15,678730,0,51.21841049194336,52.21446228027344,49.72473907470703,50.639747619628906
113,2007-06-19,52.75,53.38,51.6,53.26,2298260,0,51.14435958862305,52.161312103271484,49.93891906738281,50.9239501953125
114,2007-06-20,53.8,55.2,53.51,54.07,3089310,0,51.34455108642578,52.29644775390625,50.52146530151367,51.35316848754883
115,2007-06-21,54.0,54.38,52.4,52.9,1415465,0,51.752342224121094,52.58843994140625,51.05187225341797,51.965450286865234
116,2007-06-22,53.78,54.38,52.65,53.18,1372390,0,52.394290924072266,53.290103912353516,51.813201904296875,52.713008880615234
117,2007-06-25,53.6,54.6,52.22,54.33,1332240,0,53.04597091674805,53.87958908081055,52.292999267578125,53.088531494140625
118,2007-06-26,54.4,55.0,53.06,53.41,2671685,0,53.46990966796875,54.21379852294922,52.51318359375,53.19160461425781
119,2007-06-27,54.5,54.5,51.26,51.97,2408025,0,53.60849380493164,54.37252426147461,52.45285415649414,53.39609146118164
120,2007-06-28,55.1,55.1,51.62,52.12,2608215,0,53.74198532104492,54.4984016418457,52.446407318115234,53.43112564086914
121,2007-06-29,52.4,54.24,52.2,54.05,2447425,0,53.886863708496094,54.474552154541016,52.09135818481445,53.01515197753906
122,2007-07-02,54.65,55.0,53.0,53.26,1428260,0,54.13386154174805,54.495567321777344,51.67912292480469,52.47223663330078
123,2007-07-03,53.2,55.56,53.2,55.15,4846895,0,53.76134490966797,54.35862350463867,51.49592971801758,52.453224182128906
124,2007-07-04,55.78,56.18,54.5,54.62,3193785,0,53.606834411621094,54.319664001464844,51.67759323120117,52.59210968017578
125,2007-07-05,54.42,55.1,53.76,54.25,3510355,0,53.35862350463867,54.491249084472656,52.05744552612305,53.15494155883789
126,2007-07-06,54.98,54.98,53.72,53.98,2685875,0,53.676700592041016,54.87825393676758,52.724449157714844,53.71337890625
127,2007-07-09,54.02,56.0,53.42,55.62,4078330,0,53.96163558959961,55.04094696044922,53.22332763671875,54.01237106323242
128,2007-07-10,56.4,56.4,54.7,55.05,2777875,0,54.22853088378906,54.982784271240234,53.465389251708984,54.02903366088867
129,2007-07-11,54.8,56.24,54.2,55.6,2142045,0,54.21168518066406,55.06328201293945,53.44902801513672,54.27025604248047
130,2007-07-12,55.0,57.1,55.0,56.62,2231745,0,54.58123779296875,55.32484436035156,53.60104751586914,54.49311447143555
131,2007-07-13,56.7,57.98,56.35,56.86,3893995,0,54.759315490722656,55.582740783691406,53.73040771484375,54.74930191040039
132,2007-07-16,56.94,62.2,56.78,60.14,8010405,0,54.784183502197266,55.9539680480957,53.9776611328125,55.198936462402344
133,2007-07-17,60.14,62.58,59.83,60.51,14212935,0,55.12657165527344,56.50889587402344,54.550350189208984,55.71104431152344
134,2007-07-18,60.4,61.58,58.8,60.01,5568625,0,55.64984130859375,58.000675201416016,55.26991653442383,56.87107467651367
135,2007-07-19,69.7,69.7,59.0,60.9,2354510,0,56.867645263671875,59.780765533447266,56.58330535888672,58.23114776611328
136,2007-07-20,61.0,62.56,61.0,61.41,4168875,0,58.25481414794922,60.9702033996582,57.683963775634766,59.198516845703125
137,2007-07-23,61.4,61.6,60.3,60.82,2848545,0,61.5728759765625,63.42372512817383,58.37237548828125,59.88536834716797
138,2007-07-24,61.0,63.1,60.79,62.85,7903235,0,63.10496520996094,64.3812484741211,59.14881134033203,60.40181350708008
139,2007-07-25,62.0,63.91,61.02,61.34,3898800,0,63.06749725341797,63.827842712402344,59.661834716796875,60.57728958129883
140,2007-07-26,61.42,62.18,60.3,60.58,1886880,0,62.209102630615234,63.044944763183594,59.99551010131836,61.00639343261719
141,2007-07-27,60.0,60.0,56.6,57.75,4442805,0,61.484642028808594,62.669090270996094,60.22265625,61.15495300292969
142,2007-07-30,58.4,60.4,57.62,58.64,3373510,0,60.94987106323242,62.22490310668945,60.17465591430664,60.89375686645508
143,2007-07-31,59.0,60.38,57.0,60.0,8237705,0,60.296714782714844,61.291988372802734,59.099082946777344,59.8204460144043
144,2007-08-01,56.4,59.6,56.4,57.44,4355090,0,59.34344482421875,60.426513671875,57.975894927978516,58.801937103271484
145,2007-08-02,57.4,59.6,57.1,58.27,2541045,0,58.631168365478516,59.87969970703125,57.0726432800293,58.47981262207031
146,2007-08-03,58.6,60.09,58.6,59.24,1457300,0,57.6674690246582,59.48045349121094,56.391990661621094,58.047447204589844
147,2007-08-06,58.4,59.2,56.83,58.91,1809205,0,57.028968811035156,59.250301361083984,56.16286849975586,57.78910446166992
148,2007-08-07,59.6,62.15,59.6,60.63,3351290,0,57.065425872802734,59.29245376586914,56.59988021850586,57.95045852661133
149,2007-08-08,61.42,63.2,61.42,62.63,4089295,0,57.42228698730469,59.272708892822266,56.874168395996094,58.23754119873047
150,2007-08-09,64.08,64.2,58.7,59.32,3923985,0,58.10619354248047,59.891475677490234,57.58058166503906,58.89572525024414
151,2007-08-10,57.8,58.88,56.01,58.36,3262765,0,59.226505279541016,61.00025939941406,58.832332611083984,60.080501556396484
152,2007-08-13,59.96,59.96,58.12,58.53,2463395,0,60.942752838134766,62.30145263671875,59.40668487548828,60.4690055847168
153,2007-08-14,59.0,59.62,58.01,58.47,1036810,0,61.02057647705078,62.07501983642578,58.735652923583984,60.0046272277832
154,2007-08-16,54.2,58.0,49.01,54.35,2875650,0,60.56437301635742,61.23479080200195,58.068931579589844,59.27381134033203
155,2007-08-17,52.66,55.98,51.05,52.95,6558265,0,59.84150695800781,60.31593322753906,57.66368865966797,58.63247299194336
156,2007-08-20,55.4,56.2,53.42,53.7,1989475,0,58.037906646728516,59.24692916870117,55.39060974121094,57.26054382324219
157,2007-08-21,54.0,54.58,52.32,52.93,2800055,0,55.7172966003418,57.88195037841797,53.04157257080078,55.46452713012695
158,2007-08-22,54.0,54.0,49.5,50.88,4808680,0,54.41253662109375,56.7413215637207,51.952239990234375,54.10471725463867
159,2007-08-23,51.96,52.4,49.07,50.37,4821335,0,53.74496078491211,55.67300033569336,51.61747741699219,53.199005126953125
160,2007-08-24,51.14,51.29,49.01,50.7,4715410,0,53.5093994140625,54.753570556640625,51.04551696777344,52.27663040161133
161,2007-08-27,51.6,52.82,51.23,52.47,4731955,0,53.06650161743164,53.78329849243164,50.304447174072266,51.40806198120117
162,2007-08-28,52.4,53.55,52.21,52.77,1444825,0,52.389347076416016,52.757904052734375,49.66046142578125,50.85509490966797
163,2007-08-29,52.6,52.6,51.04,52.4,1659040,0,51.8687629699707,52.284915924072266,49.73228454589844,51.00054168701172
164,2007-08-30,53.2,53.6,52.42,52.74,4565015,0,51.768760681152344,52.418697357177734,50.420501708984375,51.56411361694336
165,2007-08-31,53.96,54.2,52.85,53.58,1952805,0,51.96662139892578,52.61478805541992,50.97730255126953,52.088443756103516
166,2007-09-03,54.4,56.8,54.0,56.48,4516495,0,52.37836456298828,52.95069885253906,51.554927825927734,52.49014663696289
167,2007-09-04,56.98,57.8,55.96,56.51,2295930,0,52.95440673828125,53.41510772705078,52.11415481567383,52.90584182739258
168,2007-09-05,56.76,56.88,54.9,55.27,1933360,0,53.56024932861328,54.399627685546875,52.774539947509766,53.879066467285156
169,2007-09-06,54.51,56.6,54.51,56.3,1337785,0,54.60111999511719,55.673892974853516,53.77344512939453,54.959495544433594
170,2007-09-07,56.8,57.2,54.81,55.12,3428030,0,55.594825744628906,56.548919677734375,54.47542953491211,55.49470138549805
171,2007-09-10,54.8,55.9,54.0,55.71,1492595,0,55.741756439208984,56.86601257324219,54.69004821777344,55.78205871582031
172,2007-09-11,56.4,56.4,55.03,55.32,739850,0,55.8681640625,56.93936538696289,54.6524543762207,55.635189056396484
173,2007-09-12,55.4,56.39,55.4,55.6,1118395,0,55.571346282958984,56.60154724121094,54.331295013427734,55.41196823120117
174,2007-09-13,56.0,57.08,55.0,56.74,1940950,0,55.45355987548828,56.22532653808594,54.17467498779297,55.14830780029297
175,2007-09-14,56.8,58.2,56.45,56.71,4768005,0,55.27914810180664,55.95107650756836,54.2667350769043,54.99067306518555
176,2007-09-17,56.8,58.0,56.3,56.56,1355485,0,55.22921371459961,55.96031188964844,54.37609100341797,55.19797897338867
177,2007-09-18,56.54,59.4,56.4,59.15,3039675,0,55.46027374267578,56.3832893371582,54.78285217285156,55.56201171875
178,2007-09-19,60.72,63.96,60.7,63.49,8356290,0,55.79506301879883,56.884361267089844,55.242313385009766,55.866641998291016
179,2007-09-20,63.8,64.54,61.7,62.13,1928535,0,56.02688217163086,57.59724426269531,55.62126922607422,56.64870071411133
180,2007-09-21,62.18,63.58,61.03,62.64,3156285,0,57.116703033447266,59.32760238647461,56.869754791259766,58.55736541748047
181,2007-09-24,62.76,65.96,62.76,65.44,3963930,0,59.211021423339844,61.385215759277344,58.59458923339844,60.328243255615234
182,2007-09-25,66.0,66.4,62.85,64.09,1825695,0,60.92258834838867,62.80564880371094,59.93340301513672,61.58662796020508
183,2007-09-26,64.31,65.6,63.0,63.93,2635840,0,62.01673889160156,64.03538513183594,61.08230209350586,62.92377471923828
184,2007-09-27,66.0,67.8,62.05,64.55,5549270,0,63.311702728271484,65.02423095703125,61.89857864379883,63.703895568847656
185,2007-09-28,65.6,65.98,63.85,65.3,3902735,0,64.04218292236328,65.43843078613281,62.36479949951172,63.90169906616211
186,2007-10-01,65.37,67.38,63.92,66.49,3125555,0,64.64286804199219,65.96807861328125,62.30107879638672,63.91072463989258
187,2007-10-03,67.4,67.6,64.23,66.24,3187265,0,64.96580505371094,66.03608703613281,62.419254302978516,64.04669189453125
188,2007-10-04,69.0,69.0,64.68,66.63,3435365,0,64.99275207519531,66.1487045288086,62.68419647216797,64.53401947021484
189,2007-10-05,66.62,66.7,64.23,64.75,1317435,0,65.3803482055664,66.36559295654297,63.026702880859375,65.03294372558594
190,2007-10-08,65.0,65.68,60.05,61.91,2057070,0,66.31880950927734,66.94023132324219,63.432228088378906,65.48245239257812
191,2007-10-09,62.0,64.4,59.4,63.98,3676130,0,66.69641876220703,67.00141143798828,63.662078857421875,65.33313751220703
192,2007-10-10,65.38,65.48,62.32,63.33,7201565,0,66.1951675415039,66.47306060791016,62.69644546508789,64.19173431396484
193,2007-10-11,62.6,66.0,62.45,64.45,2983065,0,64.63606262207031,65.49288177490234,61.16518020629883,63.35493087768555
194,2007-10-12,62.4,65.36,61.6,62.29,3804745,0,63.83039855957031,64.84375,60.54735565185547,62.8576774597168
195,2007-10-15,62.98,64.2,62.2,63.59,3266375,0,63.08248519897461,64.7353744506836,60.708343505859375,62.93344497680664
196,2007-10-16,63.6,65.4,62.23,62.96,5684605,0,62.447452545166016,64.78829193115234,60.989463806152344,62.775604248046875
197,2007-10-17,61.0,61.2,50.37,59.8,2329225,0,62.19822311401367,64.59708404541016,61.35379409790039,62.79567337036133
198,2007-10-18,60.4,62.0,54.0,56.11,2152635,0,62.3960075378418,64.60631561279297,61.686729431152344,62.800357818603516
199,2007-10-19,57.0,62.8,54.0,54.94,3658270,0,62.13905334472656,63.74197769165039,59.0489616394043,62.02012634277344
200,2007-10-22,54.6,54.93,52.42,54.39,3304820,0,61.506587982177734,62.771339416503906,56.26243209838867,60.11064910888672
